temperature,humidity,rainfall,soil_quality,fertilizer,crop_yield
17.6,38.3,438.7,3.8,157.5,35.55
30.4,45.1,403.5,5.05,131.5,52.62
25.8,44.7,243.6,9.83,7.1,62.41
28.0,53.1,375.1,6.81,0.6,56.99
32.6,43.7,78.1,4.24,3.3,36.12
29.6,90.3,278.9,6.52,72.3,54.37
27.7,65.8,419.7,7.52,99.7,62.98
27.9,72.4,208.6,8.8,77.0,72.57
22.0,56.4,434.0,8.69,108.3,56.88
15.7,51.6,138.3,3.34,71.9,32.46
25.0,65.2,92.3,6.17,6.8,55.51
19.9,52.7,259.9,3.14,36.2,39.15
24.4,55.6,412.9,9.22,158.8,65.14
34.6,62.2,174.5,4.22,55.3,48.54
20.4,65.3,370.1,7.37,52.0,44.64
16.3,94.1,117.7,6.99,24.4,32.75
21.5,48.4,348.2,7.38,157.9,48.47
21.8,64.3,272.8,6.94,36.9,55.0
30.2,44.0,120.0,8.01,103.5,55.93
27.8,56.0,337.2,7.38,6.7,56.42
33.0,78.0,335.5,3.63,10.6,33.9
30.3,45.5,256.2,5.57,114.7,55.08
24.3,69.9,140.2,6.83,101.6,60.14
33.7,60.0,102.9,5.28,108.8,44.66
18.8,38.1,432.9,8.32,37.0,45.8
15.5,91.0,312.3,5.23,157.6,38.95
17.1,59.8,373.7,8.8,89.3,52.54
31.6,82.0,328.8,4.03,155.1,41.1
25.6,60.0,381.8,8.39,26.3,59.09
18.7,91.2,115.0,4.28,64.8,39.0
26.5,52.4,248.8,6.7,53.7,59.08
18.5,59.7,316.8,5.24,120.8,43.14
31.0,80.5,91.4,7.46,119.6,52.52
25.3,55.6,110.0,4.49,77.8,58.67
23.8,56.9,303.6,8.57,2.6,55.0
21.9,94.7,397.5,7.02,28.0,55.73
29.5,68.3,314.2,9.7,8.0,57.59
23.3,76.4,64.5,7.98,135.5,60.32
17.0,73.6,438.2,7.25,46.4,43.05
17.7,84.7,105.8,8.8,18.9,43.0
37.1,86.7,143.0,4.54,56.7,37.21
35.9,68.8,440.0,7.43,12.4,34.59
31.1,52.7,358.4,5.73,156.6,45.9
21.1,36.4,424.6,8.21,50.4,52.33
37.3,71.9,372.6,3.17,149.3,36.77
32.9,84.5,310.7,5.99,109.2,46.41
31.5,62.0,163.8,7.56,90.6,59.21
25.3,44.9,180.8,6.22,76.1,68.57
21.3,52.3,428.9,4.67,110.0,44.64
17.2,65.6,394.3,6.25,109.8,44.71
35.8,85.2,193.8,8.95,1.7,55.96
25.5,45.3,199.3,4.45,145.2,70.16
19.7,71.7,169.1,5.57,58.9,46.81
22.0,80.2,180.5,9.93,56.5,67.76
28.3,91.2,394.3,9.39,65.1,62.24
19.1,42.0,54.2,3.24,109.6,44.52
34.7,90.6,224.4,6.71,60.2,43.15
32.4,71.1,427.1,3.46,59.8,41.01
31.5,81.0,267.1,9.47,10.2,47.41
24.9,38.2,230.2,6.09,66.7,62.98
29.4,65.4,174.9,5.93,23.9,59.76
28.4,72.4,79.6,4.91,136.9,54.82
29.9,53.4,139.8,6.98,53.5,55.01
16.9,60.9,86.2,4.01,153.7,42.44
24.6,68.3,100.7,8.59,109.5,63.86
16.0,68.2,115.4,6.44,121.0,38.8
26.4,37.5,170.8,6.97,151.6,70.91
22.6,61.4,54.4,8.89,38.2,59.71
18.3,47.8,430.1,4.3,90.8,41.39
17.4,90.0,99.5,4.23,6.5,28.83
28.5,93.6,203.3,5.95,16.1,65.54
18.9,53.0,401.8,8.5,58.7,54.25
36.3,45.5,92.6,3.41,109.2,33.82
28.4,48.2,243.4,8.57,133.1,65.25
23.0,63.7,387.9,6.51,41.0,50.66
28.6,87.5,272.8,6.93,119.9,55.94
15.5,65.0,134.1,6.95,35.9,35.92
37.0,38.3,344.2,3.39,1.0,25.32
26.1,37.4,322.5,4.75,8.7,47.14
33.0,48.6,194.9,8.29,93.7,64.59
16.9,85.6,68.5,5.89,79.5,37.14
26.2,72.3,53.1,6.92,43.3,57.05
26.3,68.8,380.2,9.61,1.0,56.79
36.6,54.1,178.6,3.32,90.9,43.43
28.1,90.8,105.1,6.15,130.8,52.34
25.9,54.9,257.4,5.53,11.0,52.57
21.1,85.1,418.3,3.75,117.8,45.39
22.6,88.8,53.4,9.66,101.5,61.79
27.0,64.0,72.5,9.73,76.7,61.23
25.1,88.7,216.8,5.18,7.7,61.6
15.5,51.6,320.4,9.63,147.8,47.4
34.0,74.5,240.4,3.25,76.4,40.65
35.6,40.3,409.0,9.87,63.9,40.7
18.2,63.4,67.6,8.85,137.8,48.4
27.7,48.0,186.1,4.5,135.3,65.5
17.5,38.8,190.5,7.2,116.4,61.24
30.5,35.2,186.1,8.59,132.7,70.09
21.5,54.5,245.1,5.24,19.9,47.48
30.2,70.4,366.2,5.48,121.7,50.26
31.7,62.3,177.2,7.4,52.5,55.49
32.7,53.1,347.8,4.03,138.8,44.13
17.5,94.5,108.6,3.83,59.2,36.29
36.1,91.4,274.3,4.75,8.7,30.43
20.3,42.5,200.0,8.19,66.3,69.61
15.9,59.9,265.7,5.57,121.1,38.79
27.8,73.9,93.1,6.55,80.1,58.39
23.5,79.0,431.4,4.37,122.2,48.69
34.1,57.0,412.5,4.36,5.6,33.97
33.6,79.8,380.6,7.55,28.3,46.88
22.3,42.4,407.1,3.76,90.2,44.85
36.9,54.9,108.7,7.67,61.7,43.17
21.7,78.0,251.5,5.8,108.8,57.51
26.8,72.5,177.2,7.7,154.0,70.22
20.9,85.2,405.0,5.67,105.6,50.49
36.5,37.8,125.8,8.92,66.8,47.27
18.8,45.5,138.0,3.39,86.8,39.6
16.0,37.9,324.7,9.25,146.1,49.16
25.0,46.5,85.6,4.88,107.7,50.64
37.8,35.3,342.9,3.3,128.5,33.75
35.5,65.3,157.3,6.94,48.2,45.01
32.2,66.7,314.4,4.57,119.1,42.35
35.5,74.5,399.2,6.21,22.3,33.69
35.5,58.1,293.8,8.62,120.0,49.14
26.9,35.2,135.1,8.54,141.0,62.63
22.3,75.4,69.7,7.2,144.0,60.57
32.8,38.3,67.8,9.85,18.7,48.42
30.2,87.0,85.5,6.25,132.8,53.35
23.6,36.4,281.9,3.28,17.6,43.2
17.2,66.8,189.3,8.74,76.5,60.92
32.2,88.7,147.2,4.55,109.2,47.38
21.0,69.3,137.7,4.23,77.5,48.49
36.5,71.5,429.4,3.49,54.4,31.02
20.5,75.9,97.5,5.3,109.4,51.9
17.8,42.3,171.9,5.28,105.7,49.76
34.1,75.5,238.6,5.12,93.3,46.06
18.5,87.8,50.2,7.15,84.5,45.72
19.1,93.5,418.4,8.26,112.9,51.23
28.8,61.6,89.6,9.56,64.5,56.94
35.1,55.7,323.0,3.66,11.0,31.18
19.5,80.2,301.5,4.05,86.0,46.54
22.1,67.6,373.6,7.13,115.8,57.73
32.9,50.4,310.6,3.69,47.9,38.11
37.4,45.3,357.8,5.6,22.5,30.41
26.5,45.2,218.5,7.37,145.9,73.49
18.3,62.6,245.5,8.46,138.2,52.8
15.3,45.2,330.7,4.52,98.9,39.3
20.3,36.2,277.4,7.68,125.9,49.38
18.0,38.1,254.6,7.52,155.0,46.4
30.6,90.8,132.2,9.02,91.1,55.01
17.8,39.4,153.2,5.2,39.1,43.7
26.6,39.4,193.4,8.25,102.2,75.04
31.0,62.1,53.7,8.26,146.3,55.79
28.4,49.7,216.9,4.67,110.4,58.77
19.6,92.8,51.1,7.35,4.2,39.03
33.5,89.7,276.0,7.73,146.7,49.83
31.5,59.3,331.6,4.92,120.6,49.88
32.0,61.9,274.9,6.16,64.3,45.59
18.0,57.5,327.4,6.05,158.0,43.54
17.8,37.3,50.0,8.41,115.5,52.75
36.3,52.6,73.8,3.0,132.1,41.97
24.1,42.4,329.4,6.51,150.9,61.8
21.9,41.1,371.2,4.29,6.3,45.88
26.2,68.7,337.1,7.53,123.9,68.2
30.2,40.9,315.2,7.76,61.8,59.36
37.0,41.2,333.0,6.51,139.1,39.38
21.6,63.8,345.8,6.79,140.6,53.26
36.3,61.5,339.8,5.21,132.6,45.0
15.6,43.3,345.2,5.19,124.7,35.27
27.8,35.3,79.6,8.22,127.1,58.52
29.6,46.6,75.3,3.92,47.4,43.28
17.4,49.2,194.4,8.4,65.0,58.62
18.2,83.0,261.0,7.59,18.4,36.18
24.6,89.9,355.0,9.19,132.9,60.43
37.2,59.4,183.9,4.82,103.4,46.4
28.7,59.3,160.0,6.54,98.0,57.44
36.5,77.7,362.6,3.27,39.4,33.14
33.5,72.6,149.7,9.39,98.4,53.47
25.7,46.0,378.3,7.73,72.7,61.89
33.0,41.5,120.9,7.36,159.2,49.99
15.4,61.3,193.8,8.13,138.1,58.64
17.5,68.9,210.4,4.99,84.2,55.91
34.1,43.3,169.8,7.23,129.4,53.47
33.3,52.6,51.3,8.61,26.3,44.67
20.4,53.4,144.2,3.63,16.2,34.37
27.2,50.7,185.1,9.71,100.9,78.58
28.9,62.6,175.4,9.24,116.3,68.21
35.0,74.2,364.2,9.74,8.5,44.35
28.9,65.6,68.9,8.66,32.2,58.0
24.5,47.1,205.6,5.06,86.0,64.42
23.6,41.2,65.0,7.07,10.1,52.0
24.8,84.3,422.3,3.84,67.8,51.78
30.0,63.8,366.1,8.28,77.1,58.24
35.0,38.7,442.9,4.08,147.5,38.09
25.4,50.5,414.1,9.07,50.5,60.05
20.7,83.2,176.3,4.68,27.0,51.91
20.4,80.1,326.6,4.12,1.2,35.73
32.2,87.5,172.6,3.5,19.5,40.21
33.8,71.1,405.3,7.98,120.1,51.2
17.4,60.4,214.3,4.3,71.2,52.33
16.5,60.6,200.4,4.38,31.8,49.56
28.7,46.6,415.6,4.19,149.3,52.15
18.4,74.0,384.7,5.14,126.0,38.11
34.0,70.1,436.6,9.59,18.3,50.27
22.1,44.3,76.6,6.41,43.0,44.66
18.3,88.1,147.3,4.83,135.9,44.57
36.2,57.1,170.3,4.19,110.8,49.19
18.8,38.0,219.7,3.13,151.3,49.4
21.5,54.7,239.3,5.55,12.2,49.31
18.5,87.2,166.6,3.77,124.1,46.08
17.7,90.0,366.2,3.19,12.2,30.24
15.5,64.4,139.3,3.72,53.9,40.27
16.3,92.4,328.6,5.23,120.1,36.01
19.0,87.5,390.7,8.26,113.8,47.38
16.2,84.5,291.5,3.47,0.3,26.23
28.6,86.6,191.7,7.75,32.3,72.68
30.7,57.9,125.2,7.34,124.6,53.97
24.1,80.4,103.7,9.17,20.2,59.32
22.3,69.6,347.7,4.29,52.2,51.13
26.6,78.2,237.7,8.56,29.4,65.26
35.1,45.7,68.5,9.05,17.8,44.52
34.6,78.9,443.5,9.84,133.9,55.28
16.0,92.5,318.5,8.66,9.8,38.94
19.2,53.2,387.7,3.87,85.8,39.72
20.4,94.2,225.3,9.63,110.8,64.1
20.7,57.7,432.2,8.7,9.2,48.57
28.1,47.0,129.8,4.49,101.3,60.46
24.6,41.7,124.1,4.16,53.5,48.97
16.1,82.1,406.1,9.55,133.4,49.75
23.6,68.3,406.7,4.09,127.6,49.77
27.0,53.4,249.6,8.44,127.0,66.06
17.3,71.5,100.3,5.84,63.8,39.71
34.2,54.9,172.1,8.07,131.6,57.47
16.2,61.9,351.7,3.64,100.8,38.29
36.3,86.8,388.4,8.08,60.6,45.29
17.3,75.1,189.1,6.58,12.9,53.76
34.4,80.7,74.5,9.3,10.7,42.85
35.8,70.0,316.3,4.32,40.2,31.33
37.5,94.5,345.8,3.77,47.9,27.11
33.4,49.5,219.6,4.37,148.4,52.87
32.9,50.7,283.2,3.55,160.0,42.15
29.8,40.6,444.9,9.86,23.0,56.25
32.9,68.2,148.0,3.86,150.8,42.99
18.1,71.8,279.2,4.41,113.0,45.36
27.3,78.6,294.4,8.67,79.8,58.31
26.8,55.1,269.6,4.73,152.7,55.5
34.7,35.7,397.7,4.56,114.2,35.2
25.6,72.9,292.0,7.71,95.0,61.68
23.9,94.9,253.2,5.79,33.5,55.31
29.7,52.7,99.2,8.85,39.1,55.19
21.1,46.0,331.3,7.47,145.8,54.84
18.2,51.9,102.8,5.02,34.4,39.57
26.0,60.5,60.6,7.19,5.2,53.84
24.6,50.1,245.4,9.07,42.6,63.83
20.3,55.8,279.0,5.55,76.9,47.92
23.5,73.3,449.6,8.16,61.1,55.76
23.4,55.7,334.9,5.91,149.7,55.99
22.5,58.8,389.4,6.8,67.0,55.77
23.7,37.4,188.6,8.14,142.2,76.93
30.8,90.1,253.6,3.42,95.1,49.15
21.8,59.4,439.7,6.18,83.9,58.74
36.8,54.7,217.0,3.67,25.6,41.77
36.1,40.2,372.9,8.08,43.4,38.88
26.1,73.1,260.4,7.25,138.7,62.93
22.6,86.8,139.6,5.29,124.8,53.03
27.3,37.5,282.2,3.53,71.6,48.92
34.5,43.7,137.2,9.48,145.4,51.67
30.0,43.8,51.2,5.21,131.1,52.74
33.5,71.1,144.4,4.93,17.9,34.76
27.3,90.3,127.3,3.71,96.9,55.11
29.6,61.3,198.4,7.04,127.8,66.66
21.6,55.6,405.4,4.86,129.3,50.27
31.9,81.0,205.1,8.9,14.6,65.03
19.7,79.6,388.1,7.78,35.9,48.49
31.0,49.8,272.2,3.03,66.1,41.54
34.8,44.6,53.0,6.96,40.3,45.26
18.0,56.5,125.5,4.62,17.4,34.2
29.1,81.5,422.5,3.11,100.6,43.01
17.2,76.7,291.7,7.34,81.2,45.26
31.7,75.0,421.8,4.43,24.8,35.8
16.9,84.8,174.0,9.3,93.8,52.95
36.5,51.6,336.6,7.01,9.9,36.91
18.2,55.4,358.8,4.46,61.3,37.49
37.1,37.5,440.3,9.85,126.8,48.29
33.4,87.1,57.3,6.83,142.4,43.48
28.7,69.9,430.9,4.16,39.2,51.38
33.0,52.9,206.6,6.62,137.5,56.73
33.3,39.2,385.2,9.72,142.7,56.47
36.8,78.4,267.9,5.97,97.1,37.93
20.8,79.9,275.9,5.98,157.1,55.41
28.6,75.0,193.8,6.23,39.4,64.23
17.2,47.2,381.4,4.96,11.0,38.43
29.2,89.8,155.6,4.13,135.0,50.63
18.9,80.2,246.9,7.05,78.5,43.41
28.0,74.5,274.1,9.26,55.4,61.88
28.2,74.1,347.0,8.15,8.8,58.48
25.7,89.3,238.7,3.67,10.3,52.12
27.0,90.7,322.1,5.81,14.5,53.92
32.6,70.7,244.1,3.04,29.4,41.14
33.4,60.0,313.7,5.16,155.3,42.5
26.3,56.8,319.7,7.69,45.0,61.31
28.8,84.1,333.8,5.03,130.7,54.25
36.4,73.7,379.3,8.88,3.1,36.9
17.8,39.6,266.3,6.34,51.5,40.68
17.7,43.5,127.3,7.68,145.0,46.76
17.0,89.0,321.9,9.19,29.6,46.85
30.1,88.1,80.8,7.78,45.4,50.93
24.6,92.1,137.6,9.28,132.2,63.27
32.8,60.7,366.9,8.66,19.4,44.91
30.4,82.0,224.0,6.97,8.5,60.7
22.7,84.7,249.2,5.08,154.6,52.98
35.7,53.9,445.0,5.09,64.8,40.65
32.5,43.7,144.1,9.13,105.3,50.74
21.2,94.8,57.8,3.38,20.3,40.21
23.4,36.8,94.5,9.59,35.2,58.9
22.2,70.8,147.8,5.29,73.6,56.02
18.6,74.0,340.4,8.17,108.0,53.02
18.4,75.9,360.3,5.31,46.9,40.14
36.5,50.3,276.2,9.67,141.5,46.71
25.1,78.3,152.0,3.26,125.0,59.48
23.8,48.0,258.7,5.47,88.2,53.59
31.8,84.7,56.0,9.07,73.5,46.8
27.7,48.1,322.7,4.92,99.1,49.55
36.5,76.8,295.7,4.93,117.1,33.42
32.9,82.0,58.7,9.29,21.6,48.7
26.0,46.3,376.8,8.81,136.4,71.15
23.7,49.3,355.4,3.74,78.3,44.73
37.7,81.7,173.3,7.06,149.7,46.61
31.5,40.2,304.2,4.56,152.9,46.64
36.9,46.4,290.6,4.51,4.9,32.9
17.7,62.3,107.3,7.31,61.5,42.28
34.6,90.8,127.3,3.87,84.2,37.9
29.7,68.7,323.3,6.29,86.3,53.89
17.8,58.3,423.4,4.79,131.6,49.28
28.5,93.7,280.5,8.98,22.6,56.32
30.8,62.8,277.1,6.88,99.6,54.9
15.3,61.0,308.7,4.51,150.8,38.28
25.4,59.7,226.2,9.49,159.5,73.87
34.0,53.7,71.7,8.76,1.6,44.78
21.8,54.5,208.6,4.86,155.6,61.32
25.5,76.3,410.1,9.73,19.6,55.32
25.2,37.5,372.0,4.87,85.9,53.62
21.9,75.9,421.0,5.05,39.4,49.63
36.1,47.1,111.1,5.7,97.0,37.22
33.0,58.1,252.4,4.15,5.9,37.17
17.5,43.8,283.9,7.81,38.1,38.5
37.9,68.2,134.0,6.9,48.1,41.16
35.2,78.8,130.4,9.26,146.5,51.17
21.5,56.3,362.8,4.69,93.4,49.24
34.2,44.8,318.7,4.19,113.3,39.53
17.4,48.6,308.9,5.51,108.2,37.5
38.0,84.1,156.8,4.02,62.8,30.38
30.3,51.1,252.7,9.62,2.2,53.34
30.0,81.5,59.2,8.02,17.1,52.8
17.1,54.9,102.0,8.57,73.4,47.69
35.6,46.3,257.3,8.24,150.6,45.72
15.7,78.6,173.9,4.7,39.8,42.94
20.5,63.1,436.3,3.98,111.7,50.47
18.3,36.9,238.6,6.01,132.3,47.16
32.9,92.6,83.4,8.8,145.1,52.56
19.6,43.9,57.1,5.31,47.0,41.13
35.9,56.2,340.1,3.07,149.0,35.18
30.1,58.1,118.6,7.62,97.3,57.1
15.8,64.4,125.1,4.4,81.3,41.6
15.1,82.1,219.5,6.8,124.5,53.74
16.2,35.4,155.6,3.1,38.2,33.82
28.9,90.9,296.6,6.56,130.0,55.07
33.4,73.8,244.3,5.76,104.0,44.53
20.5,92.0,94.6,9.16,127.9,56.65
34.5,84.0,363.9,8.05,136.9,50.73
16.3,90.7,220.3,3.25,98.8,48.18
33.4,71.1,294.3,8.53,5.9,36.83
36.3,56.4,51.6,8.54,47.6,49.23
32.8,61.6,300.6,7.64,140.5,52.65
31.1,74.5,163.1,9.51,100.3,64.73
34.3,60.6,247.7,8.62,142.4,47.15
15.9,78.9,169.1,4.53,61.5,40.1
19.6,40.5,448.5,5.67,80.8,46.9
17.9,84.8,142.3,5.45,138.0,39.92
26.6,47.3,415.1,6.53,121.9,51.72
32.1,91.6,417.2,9.68,60.4,53.07
29.5,44.3,218.4,7.31,3.6,59.37
34.6,42.7,171.6,5.19,140.9,51.76
18.6,83.7,202.4,9.59,125.8,66.0
31.9,84.1,445.7,7.9,71.9,50.12
19.4,79.3,297.5,4.86,87.4,45.55
21.2,92.6,267.9,9.35,32.7,55.76
31.3,51.2,64.4,5.41,65.9,44.66
37.5,84.6,389.1,6.61,26.1,37.03
29.1,56.1,83.5,6.35,33.7,50.53
16.3,67.2,68.8,9.47,135.4,49.69
29.2,61.7,159.9,4.86,58.0,56.17
16.0,35.4,240.3,5.33,130.4,43.83
35.3,69.5,408.1,7.62,75.8,44.93
31.3,79.9,366.0,9.21,11.3,46.99
19.0,45.5,129.1,3.8,57.8,33.03
17.1,90.9,198.8,4.47,25.3,46.05
19.2,66.8,362.1,9.64,111.0,57.82
37.5,45.7,260.8,8.44,145.8,45.98
25.5,73.8,119.8,5.42,122.1,59.01
33.0,46.5,208.4,5.5,124.6,57.93
29.6,38.8,300.4,6.29,137.9,55.24
28.2,76.1,439.3,7.72,124.3,58.48
18.3,41.6,314.7,6.93,91.0,47.04
36.8,41.4,56.5,8.43,114.3,46.35
21.9,79.4,332.0,3.38,66.6,44.5
28.3,38.3,150.3,8.73,11.3,57.57
31.1,83.6,394.9,3.41,112.9,40.04
29.9,82.8,203.6,9.17,115.5,74.31
36.6,43.5,129.8,3.3,35.8,28.8
18.4,66.1,237.2,3.89,152.6,49.59
26.7,40.8,152.1,4.26,8.4,48.36
24.3,73.0,144.3,4.56,117.8,58.68
25.9,38.8,279.3,5.81,155.0,57.11
17.7,91.7,356.9,7.59,49.5,35.84
18.1,47.5,384.0,9.25,146.0,50.55
21.4,76.0,209.1,6.67,132.2,67.59
22.0,42.7,76.7,6.73,119.1,54.84
24.8,47.6,243.6,5.24,152.6,60.15
29.1,62.1,223.5,8.6,104.6,68.7
29.6,69.4,128.8,3.77,79.2,48.24
24.5,94.9,408.5,5.11,108.1,51.47
24.4,36.6,439.7,3.68,65.9,44.0
20.0,35.0,70.7,4.5,52.0,40.45
28.5,56.0,368.3,7.11,13.2,50.58
22.3,57.0,308.3,3.88,60.5,50.56
15.8,88.0,154.6,3.7,128.5,31.21
24.6,89.8,304.1,8.78,151.3,64.59
25.9,87.8,101.5,3.83,156.0,60.22
20.2,43.6,77.8,7.26,33.0,45.67
28.2,59.7,447.4,5.46,91.4,55.88
28.0,79.8,304.5,9.27,92.1,64.56
31.1,53.8,151.3,7.95,28.2,52.81
29.9,74.8,230.0,3.42,93.1,52.87
30.0,49.2,430.0,9.27,58.0,54.51
22.3,54.4,225.5,5.9,150.8,64.39
33.1,86.6,410.2,5.09,40.8,33.8
27.6,50.0,397.5,7.71,133.6,64.19
24.9,92.9,187.7,8.03,143.5,73.27
29.4,53.4,328.4,5.12,117.7,53.27
23.3,36.4,314.2,5.46,34.3,47.77
26.8,50.3,358.5,4.09,41.7,54.61
31.9,45.3,196.4,7.15,155.4,65.7
35.4,65.4,70.9,9.7,12.1,42.72
36.2,41.8,118.4,5.92,18.7,32.38
26.6,72.6,296.6,9.97,156.6,67.91
27.0,87.5,360.0,4.23,124.3,61.13
33.4,56.8,352.4,8.57,119.4,47.49
22.2,45.1,283.5,9.5,25.6,58.47
34.3,59.0,83.9,7.82,78.2,47.91
26.4,82.2,56.9,3.77,134.5,58.7
17.7,70.5,362.9,5.29,52.6,41.02
16.7,41.1,269.8,3.6,30.8,30.88
34.4,67.2,363.1,7.21,1.8,41.75
16.3,63.1,115.1,9.99,99.6,50.48
21.5,54.6,213.0,5.62,47.0,62.16
22.7,41.6,417.7,4.14,138.2,54.81
19.0,93.9,118.6,4.88,45.4,38.97
22.2,45.6,74.6,7.0,24.3,48.85
32.1,46.6,311.4,6.98,153.7,48.77
15.3,43.7,287.8,4.61,154.4,38.16
34.0,69.2,430.8,8.25,109.6,46.78
34.7,61.6,412.6,3.62,148.5,38.08
23.6,50.0,349.8,7.36,25.9,51.38
18.5,60.8,57.7,5.98,73.7,45.4
28.8,75.4,242.2,3.89,32.7,47.81
17.8,51.9,408.4,7.44,76.6,41.27
23.4,89.9,223.5,7.71,126.6,64.82
37.0,53.4,434.9,6.08,135.2,38.62
37.9,46.9,311.0,8.59,0.7,34.47
32.8,92.3,93.8,6.57,62.3,44.88
22.2,83.6,253.7,5.0,159.1,52.53
30.8,55.6,328.2,9.68,94.3,59.82
31.2,85.5,76.1,9.61,47.4,55.12
23.9,66.1,187.9,3.67,62.2,65.29
29.7,55.8,336.8,9.62,51.6,53.45
15.2,85.4,112.8,8.43,71.6,39.19
19.8,80.1,189.3,3.75,71.1,55.39
27.1,52.9,326.0,6.64,81.1,59.18
18.8,71.4,360.2,3.24,74.3,41.34
18.8,57.2,257.4,7.12,82.6,43.59
34.2,35.1,432.7,9.53,4.5,40.67
37.8,92.7,420.1,5.58,8.7,28.84
27.8,68.0,239.4,6.56,59.4,61.03
34.3,70.9,114.1,4.59,141.6,41.7
37.8,71.0,359.2,6.79,126.5,42.69
18.3,68.0,147.3,8.62,17.6,45.48
25.3,52.4,387.1,4.51,79.2,58.08
24.0,93.3,284.9,6.87,96.7,62.22
16.8,72.3,207.6,5.48,77.0,49.81
32.4,75.3,272.6,8.24,111.6,52.7
25.0,62.3,263.1,7.91,159.6,66.75
25.8,52.3,419.9,7.89,15.4,58.25
18.5,38.9,135.7,5.64,82.5,40.98
19.2,56.0,421.3,7.19,82.0,48.72
35.9,45.6,62.5,7.56,90.0,38.2
16.0,74.7,357.7,7.77,26.7,39.3
20.4,87.7,417.9,7.03,102.1,46.25
21.7,53.2,207.6,9.07,7.1,66.84
26.3,55.0,79.2,4.74,118.6,53.59
28.5,75.2,371.9,3.39,106.1,51.64
26.3,44.0,387.1,9.74,52.9,63.88
16.9,90.8,184.5,3.43,158.2,47.69
20.6,56.8,257.4,9.32,132.6,56.8
34.4,41.1,373.8,7.29,86.3,43.28
29.7,45.5,126.8,9.43,158.5,65.02
29.9,91.0,301.6,6.95,132.8,53.85
30.4,49.8,222.3,8.75,22.1,61.38
32.5,74.7,119.8,8.05,94.6,49.52
16.3,44.4,382.6,6.68,92.9,43.95
23.4,46.6,179.9,5.54,104.5,64.76
27.4,87.8,423.8,3.02,150.5,49.66
22.8,43.9,277.6,4.76,78.7,50.57
34.4,36.1,255.8,9.66,12.4,43.0
26.1,65.1,219.3,4.93,76.7,70.12
32.7,86.8,210.3,8.26,126.0,63.81
34.6,54.6,377.2,6.56,57.4,37.51
26.6,42.7,321.0,5.16,4.3,50.2
35.9,93.9,359.5,9.94,48.5,49.21
28.5,75.6,218.4,3.33,109.1,64.76
34.6,86.0,154.6,7.07,13.8,37.04
22.8,80.1,84.7,6.23,60.2,52.29
